Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-06-14,LTCBTC,0.01484,0.01537,0.01468,0.01518,165813.03,2481.82
2018-06-13,LTCBTC,0.01526,0.01528,0.01434,0.01484,174531.24,2590.65
2018-06-12,LTCBTC,0.01559,0.01575,0.01497,0.01526,172334.87,2666.94
2018-06-11,LTCBTC,0.01574,0.01598,0.01541,0.01559,155524.33,2440.66
2018-06-10,LTCBTC,0.01565,0.01589,0.01541,0.01574,172199.7,2688.5
2018-06-09,LTCBTC,0.01576,0.01579,0.01557,0.01565,127747.96,2002.92
2018-06-08,LTCBTC,0.01581,0.01591,0.0156,0.01576,144965.65,2276.44
2018-06-07,LTCBTC,0.01585,0.01598,0.01563,0.01581,149368.45,2360.89
2018-06-06,LTCBTC,0.01602,0.01608,0.01575,0.01585,138951.08,2209.56
2018-06-05,LTCBTC,0.01599,0.01605,0.01571,0.01602,145260.11,2305.52
2018-06-04,LTCBTC,0.01621,0.0164,0.01582,0.01599,145987.45,2342.55
2018-06-03,LTCBTC,0.01616,0.01652,0.016,0.01621,147588.18,2401.41
2018-06-02,LTCBTC,0.01598,0.01623,0.01584,0.01616,145800.37,2340.29
2018-06-01,LTCBTC,0.01579,0.01599,0.01568,0.01598,142242.46,2255.88
2018-05-31,LTCBTC,0.01588,0.01596,0.01572,0.01579,141822.24,2245.75
2018-05-30,LTCBTC,0.016,0.01625,0.01567,0.01588,131055.78,2099.99
2018-05-29,LTCBTC,0.01559,0.01641,0.01552,0.016,133714.66,2139.15
2018-05-28,LTCBTC,0.01603,0.01614,0.01552,0.01559,98732.55,1556.48
2018-05-27,LTCBTC,0.01613,0.01618,0.01593,0.01603,80661.24,1296.12
2018-05-26,LTCBTC,0.01593,0.01618,0.0159,0.01613,84468.54,1355.8
2018-05-25,LTCBTC,0.01619,0.01629,0.01584,0.01593,104758.19,1680.28
2018-05-24,LTCBTC,0.01576,0.01645,0.01557,0.01619,105264.26,1684.17
2018-05-23,LTCBTC,0.01603,0.01614,0.01548,0.01576,137514.76,2179.02
2018-05-22,LTCBTC,0.01598,0.01629,0.01592,0.01603,96846.82,1557.41
2018-05-21,LTCBTC,0.01639,0.01642,0.01598,0.01598,95402.5,1540.03
2018-05-20,LTCBTC,0.01639,0.01655,0.01623,0.01639,100039.75,1639.88
2018-05-19,LTCBTC,0.01649,0.01657,0.01625,0.01639,92427.34,1514.51
2018-05-18,LTCBTC,0.01643,0.0167,0.0162,0.01649,103119.59,1690.57
2018-05-17,LTCBTC,0.01668,0.01686,0.01629,0.01643,100003.31,1661.25
2018-05-16,LTCBTC,0.01643,0.01675,0.01626,0.01668,108225.38,1795.12
2018-05-15,LTCBTC,0.01698,0.01714,0.01628,0.01643,168138.03,2797.84
2018-05-14,LTCBTC,0.01663,0.01732,0.01612,0.01698,254720.32,4230.83
2018-05-13,LTCBTC,0.01671,0.01684,0.01622,0.01663,119028.97,1972.06
2018-05-12,LTCBTC,0.01621,0.01681,0.01594,0.01671,118256.6,1942.34
2018-05-11,LTCBTC,0.01644,0.01661,0.01598,0.01621,188781.1,3067.41
2018-05-10,LTCBTC,0.01684,0.0172,0.01638,0.01644,152208.96,2564.61
